order_code,perth_order_code,width,height,sqm,weight
12N-0200,C12N-0200,200,1200,0.24,7
12N-0250,C12N-0250,250,1200,0.3,9
12N-0300,C12N-0300,300,1200,0.36,11
12N-0350,C12N-0350,350,1200,0.42,13
12N-0400,C12N-0400,400,1200,0.48,14
12N-0450,C12N-0450,450,1200,0.54,16
12N-0500,C12N-0500,500,1200,0.6,18
12N-0550,C12N-0550,550,1200,0.66,20
12N-0600,C12N-0600,600,1200,0.72,22
12N-0650,C12N-0650,650,1200,0.78,23
12N-0700,C12N-0700,700,1200,0.84,25
12N-0750,C12N-0750,750,1200,0.9,27
12N-0800,C12N-0800,800,1200,0.96,29
12N-0850,C12N-0850,850,1200,1.02,31
12N-0900,C12N-0900,900,1200,1.08,32
12N-0950,C12N-0950,950,1200,1.14,34
12N-1000,C12N-1000,1000,1200,1.2,36
12N-1050,C12N-1050,1050,1200,1.26,38
12N-1100,C12N-1100,1100,1200,1.32,40
12N-1150,C12N-1150,1150,1200,1.38,41
12N-1200,C12N-1200,1200,1200,1.44,43
12N-1250,C12N-1250,1250,1200,1.5,45
12N-1300,C12N-1300,1300,1200,1.56,47
12N-1350,C12N-1350,1350,1200,1.62,49
12N-1400,C12N-1400,1400,1200,1.68,50
12N-1450,C12N-1450,1450,1200,1.74,52
12N-1500,C12N-1500,1500,1200,1.8,54
12N-1550,C12N-1550,1550,1200,1.86,56
12N-1600,C12N-1600,1600,1200,1.92,58
12N-1650,C12N-1650,1650,1200,1.98,59
12N-1700,C12N-1700,1700,1200,2.04,61
12N-1750,C12N-1750,1750,1200,2.1,63
12N-1800,C12N-1800,1800,1200,2.16,65
12N-1850,C12N-1850,1850,1200,2.22,67
12N-1900,C12N-1900,1900,1200,2.28,68
12N-1950,C12N-1950,1950,1200,2.34,70
12N-2000,C12N-2000,2000,1200,2.4,72
